"","Plate","Day","Day_number_by_exp","Exp_day_after","Number","Day_number","Date.x","Year","Dark_condition","Time","Strain","Video_1","OBS","USE","Time_dry","Num_Adults","Num_other","Microliters_counting","Treatment","Height_base","Height","Angle_length","Length","Width","Pillar_height","Pillar_angle","Pillar_length","Pillar_width","Sociality","Procedence","Conc","Conc_T","Timehms","Time_minutes","Filming_number","count_all","count","Corrected_length","Corrected_height","Pillar_angle_absolute","Angle_length_absolute","Zero_time_minutes","First_base","Time_Span_from_first","Time_Span_from_zero","Time_Span","Tw_height_Span","Tw_length_Span","Corrected_height_Span","Corrected_length_Span","growth_length","growth_height","growth_corrected_length","growth_corrected_height","Length_nobase","Height_nobase","Tw_area","Tw_area_corrected","Num_Adults_1mu","Num_Other_1mu","Prop_A_others","Mean_height","Median_height"
"1","1",11,11,"E",2287,11,"11. Aug",2023,"Y",15:20:00,"N2","MVI_7797",NA,"Y","14:00",59.33333333,NA,2,"2.DAU",0.622,1.057,-0.277,1.072,0.197,2.453,-3.556,2.429,0.123,"2Non_social","2Lab","11 _ 1","2.DAU _ N2",15H 20M 0S,920,1,3,3,0.441333882256073,0.430900937627395,3.556,0.277,870,0.622,0,50,0,0,0,0,0,0,0,0,0,0.45,0.435,0.211184,0.0869427748044463,29.666666665,NA,NA,1.15366666666667,1.15
"2","11",11,2,"E",2278,2,"11. Aug",2023,"Y",14:30:00,"N2","MVI_7782",NA,"Y","14:00",59.33333333,NA,2,"2.DAU",0.756,0.891,-0.662,0.896,0.114,2.271,1.935,2.287,0.108,"2Non_social","2Lab","11 _ 11","2.DAU _ N2",14H 30M 0S,870,1,4,4,0.391779623961522,0.392338177014531,1.935,0.662,870,0.756,0,0,0,0,0,0,0,0,0,0,0,0.14,0.135,0.102144,0.0446628771316135,29.666666665,NA,NA,1.027,0.896
"3","2",11,12,"E",2288,12,"11. Aug",2023,"Y",15:20:00,"N2","MVI_7798",NA,"Y","14:00",59.33333333,NA,2,"2.DAU",0.596,1.134,-1.848,1.125,0.218,3.192,-3.895,3.227,0.137,"2Non_social","2Lab","11 _ 2","2.DAU _ N2",15H 20M 0S,920,1,3,3,0.348621010226216,0.355263157894737,3.895,1.848,870,0.596,0,50,0,0,0,0,0,0,0,0,0,0.529,0.538,0.24525,0.0759993802293152,29.666666665,NA,NA,1.35066666666667,1.24
"4","3",11,14,"E",2290,14,"11. Aug",2023,"Y",15:20:00,"N2","MVI_7800",NA,"Y","14:00",59.33333333,NA,2,"2.DAU",0.752,0.892,-7.809,0.915,0.083,2.741,-10.43,2.8,0.083,"2Non_social","2Lab","11 _ 3","2.DAU _ N2",15H 20M 0S,920,1,3,3,0.326785714285714,0.325428675665815,10.43,7.809,870,0.752,0,50,0,0,0,0,0,0,0,0,0,0.163,0.14,0.075945,0.0271232142857143,29.666666665,NA,NA,0.968666666666667,0.961
"5","4",11,13,"E",2289,13,"11. Aug",2023,"Y",15:20:00,"N2","MVI_7799",NA,"Y","14:00",59.33333333,NA,2,"2.DAU",0.653,1.482,-4,1.485,0.499,NA,NA,NA,NA,"2Non_social","2Lab","11 _ 4","2.DAU _ N2",15H 20M 0S,920,1,3,3,NA,NA,NA,4,870,0.653,0,50,0,0,0,NA,NA,0,0,0,0,0.832,0.829,0.741015,NA,29.666666665,NA,NA,1.576,1.529
"6","5",11,15,"E",2291,15,"11. Aug",2023,"Y",15:20:00,"N2","MVI_7801",NA,"Y","14:00",59.33333333,NA,2,"2.DAU",0.513,1.217,-3.637,1.225,0.348,2.234,-2.827,2.222,0.097,"2Non_social","2Lab","11 _ 5","2.DAU _ N2",15H 20M 0S,920,1,3,3,0.551305130513051,0.544762757385855,2.827,3.637,870,0.513,0,50,0,0,0,0,0,0,0,0,0,0.712,0.704,0.4263,0.191854185418542,29.666666665,NA,NA,1.367,1.225
"7","6",11,16,"E",2292,16,"11. Aug",2023,"Y",15:20:00,"N2","MVI_7802",NA,"Y","14:00",59.33333333,NA,2,"2.DAU",0.435,1.052,-4.185,1.065,0.363,2.873,-6.407,2.907,0.125,"2Non_social","2Lab","11 _ 6","2.DAU _ N2",15H 20M 0S,920,1,3,3,0.366357069143447,0.366167768882701,6.407,4.185,870,0.435,0,50,0,0,0,0,0,0,0,0,0,0.63,0.617,0.386595,0.132987616099071,29.666666665,NA,NA,1.07633333333333,1.065
"8","7",11,17,"E",2293,17,"11. Aug",2023,"Y",15:20:00,"N2","MVI_7803",NA,"Y","14:00",59.33333333,NA,2,"2.DAU",0.446,1.248,-3.013,1.281,0.544,2.41,-3.302,2.414,0.139,"2Non_social","2Lab","11 _ 7","2.DAU _ N2",15H 20M 0S,920,1,3,3,0.530654515327258,0.517842323651452,3.302,3.013,870,0.446,0,50,0,0,0,0,0,0,0,0,0,0.835,0.802,0.696864,0.288676056338028,29.666666665,NA,NA,1.487,1.554
"9","8",11,1,"E",2277,1,"11. Aug",2023,"Y",14:30:00,"N2","MVI_7780",NA,"Y","14:00",59.33333333,NA,2,"2.DAU",0.523,1.109,0,1.098,0.166,2.348,-12.609,2.406,0.14,"2Non_social","2Lab","11 _ 8","2.DAU _ N2",14H 30M 0S,870,1,3,3,0.456359102244389,0.472316865417376,12.609,0,870,0.523,0,0,0,0,0,0,0,0,0,0,0,0.575,0.586,0.182268,0.0757556109725686,29.666666665,NA,NA,1.12966666666667,1.098
"10","9",11,19,"E",2295,19,"11. Aug",2023,"Y",15:20:00,"N2","MVI_7805",NA,"Y","14:00",59.33333333,NA,2,"2.DAU",0.487,0.958,-6.511,0.959,0.167,2.456,-5.356,2.482,0.093,"2Non_social","2Lab","11 _ 9","2.DAU _ N2",15H 20M 0S,920,1,3,3,0.38638195004029,0.390065146579805,5.356,6.511,870,0.487,0,50,0,0,0,0,0,0,0,0,0,0.472,0.471,0.160153,0.0645257856567284,29.666666665,NA,NA,1.04466666666667,0.99
