Plate,Strain,Treatment,Length
60,CB,NO_FOOD,1.061
61,CB,NO_FOOD,1.45
62,CB,NO_FOOD,1.462
63,CB,NO_FOOD,1.603
64,CB,NO_FOOD,1.32
65,CB,NO_FOOD,1.32
66,CB,NO_FOOD,1.335
67,CB,NO_FOOD,0.915
68,CB,NO_FOOD,1.571
69,CB,NO_FOOD,1.269
70,CB,NO_FOOD,2.139
71,CB,FOOD,0
71,CB,FOOD,0
71,CB,FOOD,0
72,CB,FOOD,0
72,CB,FOOD,0
72,CB,FOOD,0
73,CB,FOOD,0
73,CB,FOOD,0
73,CB,FOOD,0
74,CB,FOOD,0
74,CB,FOOD,0
74,CB,FOOD,0
75,CB,FOOD,0
75,CB,FOOD,0
75,CB,FOOD,0
76,CB,FOOD,0
76,CB,FOOD,0
76,CB,FOOD,0
77,CB,FOOD,0
77,CB,FOOD,0
77,CB,FOOD,0
78,CB,FOOD,0
78,CB,FOOD,0
78,CB,FOOD,0
79,CB,FOOD,0
79,CB,FOOD,0
79,CB,FOOD,0
80,CB,FOOD,0
80,CB,FOOD,0
80,CB,FOOD,0
81,CB,FOOD,0
81,CB,FOOD,0
81,CB,FOOD,0
82,CB,FOOD,0
82,CB,FOOD,0
82,CB,FOOD,0
