Plate,Position,Sum_brood,Length
6,1.top,168,4.085
6,2.bottom,143,4.085
6,3.surface,148,4.085
7,1.top,132,4.614
7,2.bottom,220,4.614
7,3.surface,158,4.614
8,1.top,109,3.636
8,2.bottom,146,3.636
8,3.surface,188,3.636
9,1.top,219,3.315
9,2.bottom,178,3.315
9,3.surface,229,3.315
10,1.top,183,3.529
10,2.bottom,201,3.529
10,3.surface,159,3.529
11,1.top,194,3.728
11,2.bottom,126,3.728
11,3.surface,194,3.728
12,1.top,221,3.219
12,2.bottom,130,3.219
12,3.surface,197,3.219
13,1.top,194,3.844
13,2.bottom,106,3.844
13,3.surface,183,3.844
14,1.top,216,4.169
14,2.bottom,262,4.169
14,3.surface,244,4.169
15,1.top,205,3.06
15,2.bottom,160,3.06
15,3.surface,161,3.06
20,1.top,181,3.691
20,2.bottom,149,3.691
20,3.surface,175,3.691
21,1.top,253,3.318
21,2.bottom,250,3.318
21,3.surface,151,3.318
22,1.top,208,3.992
22,2.bottom,171,3.992
22,3.surface,230,3.992
23,1.top,120,3.151
23,2.bottom,187,3.151
23,3.surface,180,3.151
24,1.top,140,3.239
24,2.bottom,272,3.239
24,3.surface,261,3.239
25,1.top,152,3.713
25,2.bottom,160,3.713
25,3.surface,124,3.713
26,1.top,165,3.435
26,2.bottom,261,3.435
27,1.top,152,4.464
27,2.bottom,184,4.464
27,3.surface,187,4.464
28,1.top,155,3.851
28,2.bottom,118,3.851
28,3.surface,197,3.851
30,1.top,189,3.572
30,2.bottom,233,3.572
30,3.surface,193,3.572
31,1.top,118,3.719
31,2.bottom,144,3.719
31,3.surface,224,3.719
32,1.top,177,2.777
32,2.bottom,198,2.777
32,3.surface,169,2.777
35,1.top,158,2.922
35,2.bottom,173,2.922
35,3.surface,207,2.922
36,1.top,234,3.853
36,2.bottom,151,3.853
36,3.surface,213,3.853
37,1.top,173,3.288
37,2.bottom,166,3.288
37,3.surface,216,3.288
38,1.top,217,2.64
38,2.bottom,175,2.64
38,3.surface,224,2.64
39,1.top,205,3.77
39,2.bottom,96,3.77
39,3.surface,190,3.77
40,1.top,191,3.211
40,2.bottom,178,3.211
40,3.surface,198,3.211
46,1.top,165,3.441
46,2.bottom,141,3.441
46,3.surface,237,3.441
49,1.top,136,4.064
49,2.bottom,233,4.064
50,1.top,138,3.25
50,2.bottom,247,3.25
50,3.surface,241,3.25
51,1.top,222,3.285
51,2.bottom,220,3.285
51,3.surface,207,3.285
52,1.top,204,3.229
52,2.bottom,202,3.229
52,3.surface,130,3.229
53,1.top,177,2.692
53,2.bottom,135,2.692
53,3.surface,173,2.692
54,1.top,193,2.659
54,2.bottom,174,2.659
54,3.surface,176,2.659
55,1.top,97,2.584
55,2.bottom,215,2.584
55,3.surface,165,2.584
