pc1,pc2,pc3,pc4,Positions,Plate
-2.319474841,1.085096283,0.020002741,1.382370842,Bottom,12
-1.458194007,-0.44491253,0.332314894,-1.328698707,Bottom,10
-1.282839924,-0.214174052,0.505102705,-1.551950893,Bottom,11
0.339943789,-0.451223451,-2.529976835,-0.110977207,Bottom,13
-0.576914531,0.857009179,0.139582408,0.012019472,Bottom,14
-0.496337156,1.716368571,-0.16234638,-0.044653381,Bottom,23
-0.394174519,-1.514813813,2.416955923,-0.742616493,Bottom,16
0.041844445,0.510600324,-1.328099323,0.183333929,Bottom,25
-5.864144859,-5.017880058,3.566467292,7.900948124,Bottom,21
-2.380299421,1.816449101,-0.700530594,-0.601745406,Bottom,22
-2.041143141,-0.574667354,0.541362336,1.374442304,Bottom,27
-1.378507339,0.100965904,1.045991549,-0.183027261,Bottom,24
-3.183488122,-0.375123822,0.290717737,1.11732108,Bottom,49
-1.734427727,-2.44850848,1.332824815,0.115304344,Bottom,26
-2.648050244,2.132574156,-1.354916825,1.189175538,Bottom,31
-2.814999475,-0.288704681,-0.219130896,0.69994519,Bottom,28
-2.726726782,-1.183159039,2.613726743,0.691445588,Bottom,36
0.291905992,-0.143752553,0.497715513,-1.407796027,Bottom,30
-2.527356337,-0.6071954,0.704831311,-0.623131573,Bottom,37
-0.696315328,1.031607136,-1.99888035,1.739289953,Bottom,40
-1.332434835,-1.055391307,0.739561868,0.262174632,Bottom,46
-2.913585774,-0.895283131,1.448696528,1.854091073,Bottom,50
0.999150629,1.195155004,-1.250400618,-0.816042399,Bottom,51
-1.297504903,0.311600838,0.15989934,0.139600295,Bottom,6
0.06589056,0.92417855,-0.599064293,0.606615994,Bottom,52
0.26884069,-0.713426233,1.456051222,-0.384680613,Bottom,55
0.133556349,0.545499036,0.683772056,-1.000042525,Bottom,53
-0.134725156,1.120536849,-0.182018433,-1.094324834,Bottom,54
0.495292771,-0.01390917,0.772301886,-1.577759905,Bottom,7
-0.869135682,-0.419742893,1.003674435,-1.411832453,Bottom,8
-0.263406969,-0.225258448,1.01572042,-0.80299261,Bottom,9
-0.356590018,1.122441823,-1.387076555,0.103747169,Bottom,20
-1.506842793,-0.070065618,0.567406581,-1.78964456,Outside,10
-0.306458362,-0.793607249,1.068362731,-0.804542492,Outside,12
